+2025-10-06 20:50:24,967 [0.00402069091796875] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-10-06 20:50:27,036 [2.073636054992676] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-06 20:50:27,039 [2.0761446952819824] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-06 20:50:27,093 [2.130725383758545] PIL.PngImagePlugin DEBUG: STREAM b'IHDR' 16 13
+2025-10-06 20:50:27,093 [2.130725383758545] PIL.PngImagePlugin DEBUG: STREAM b'pHYs' 41 9
+2025-10-06 20:50:27,093 [2.130725383758545] PIL.PngImagePlugin DEBUG: STREAM b'IDAT' 62 8192
+2025-10-06 20:50:27,159 [2.196671962738037] PIL.Image DEBUG: Importing BlpImagePlugin
+2025-10-06 20:50:27,161 [2.1986730098724365] PIL.Image DEBUG: Importing BmpImagePlugin
+2025-10-06 20:50:27,161 [2.1986730098724365] PIL.Image DEBUG: Importing BufrStubImagePlugin
+2025-10-06 20:50:27,162 [2.199672222137451] PIL.Image DEBUG: Importing CurImagePlugin
+2025-10-06 20:50:27,162 [2.199672222137451] PIL.Image DEBUG: Importing DcxImagePlugin
+2025-10-06 20:50:27,164 [2.2011849880218506] PIL.Image DEBUG: Importing DdsImagePlugin
+2025-10-06 20:50:27,167 [2.204379081726074] PIL.Image DEBUG: Importing EpsImagePlugin
+2025-10-06 20:50:27,168 [2.205381155014038] PIL.Image DEBUG: Importing FitsImagePlugin
+2025-10-06 20:50:27,169 [2.206578254699707] PIL.Image DEBUG: Importing FliImagePlugin
+2025-10-06 20:50:27,170 [2.2075791358947754] PIL.Image DEBUG: Importing FpxImagePlugin
+2025-10-06 20:50:27,171 [2.208577871322632] PIL.Image DEBUG: Image: failed to import FpxImagePlugin: No module named 'olefile'
+2025-10-06 20:50:27,171 [2.208577871322632] PIL.Image DEBUG: Importing FtexImagePlugin
+2025-10-06 20:50:27,171 [2.208577871322632] PIL.Image DEBUG: Importing GbrImagePlugin
+2025-10-06 20:50:27,172 [2.2095768451690674] PIL.Image DEBUG: Importing GifImagePlugin
+2025-10-06 20:50:27,172 [2.2095768451690674] PIL.Image DEBUG: Importing GribStubImagePlugin
+2025-10-06 20:50:27,172 [2.2095768451690674] PIL.Image DEBUG: Importing Hdf5StubImagePlugin
+2025-10-06 20:50:27,172 [2.2095768451690674] PIL.Image DEBUG: Importing IcnsImagePlugin
+2025-10-06 20:50:27,175 [2.2122318744659424] PIL.Image DEBUG: Importing IcoImagePlugin
+2025-10-06 20:50:27,175 [2.212738513946533] PIL.Image DEBUG: Importing ImImagePlugin
+2025-10-06 20:50:27,178 [2.2152488231658936] PIL.Image DEBUG: Importing ImtImagePlugin
+2025-10-06 20:50:27,179 [2.2162551879882812] PIL.Image DEBUG: Importing IptcImagePlugin
+2025-10-06 20:50:27,180 [2.2172672748565674] PIL.Image DEBUG: Importing JpegImagePlugin
+2025-10-06 20:50:27,180 [2.2172672748565674] PIL.Image DEBUG: Importing Jpeg2KImagePlugin
+2025-10-06 20:50:27,180 [2.2172672748565674] PIL.Image DEBUG: Importing McIdasImagePlugin
+2025-10-06 20:50:27,181 [2.218254566192627] PIL.Image DEBUG: Importing MicImagePlugin
+2025-10-06 20:50:27,182 [2.219254970550537] PIL.Image DEBUG: Image: failed to import MicImagePlugin: No module named 'olefile'
+2025-10-06 20:50:27,182 [2.219254970550537] PIL.Image DEBUG: Importing MpegImagePlugin
+2025-10-06 20:50:27,183 [2.2207608222961426] PIL.Image DEBUG: Importing MpoImagePlugin
+2025-10-06 20:50:27,189 [2.2267701625823975] PIL.Image DEBUG: Importing MspImagePlugin
+2025-10-06 20:50:27,190 [2.227771282196045] PIL.Image DEBUG: Importing PalmImagePlugin
+2025-10-06 20:50:27,191 [2.2287700176239014] PIL.Image DEBUG: Importing PcdImagePlugin
+2025-10-06 20:50:27,191 [2.2287700176239014] PIL.Image DEBUG: Importing PcxImagePlugin
+2025-10-06 20:50:27,191 [2.2287700176239014] PIL.Image DEBUG: Importing PdfImagePlugin
+2025-10-06 20:50:27,197 [2.2349445819854736] PIL.Image DEBUG: Importing PixarImagePlugin
+2025-10-06 20:50:27,198 [2.2359514236450195] PIL.Image DEBUG: Importing PngImagePlugin
+2025-10-06 20:50:27,198 [2.2359514236450195] PIL.Image DEBUG: Importing PpmImagePlugin
+2025-10-06 20:50:27,198 [2.2359514236450195] PIL.Image DEBUG: Importing PsdImagePlugin
+2025-10-06 20:50:27,199 [2.23695707321167] PIL.Image DEBUG: Importing QoiImagePlugin
+2025-10-06 20:50:27,200 [2.2379565238952637] PIL.Image DEBUG: Importing SgiImagePlugin
+2025-10-06 20:50:27,201 [2.238955020904541] PIL.Image DEBUG: Importing SpiderImagePlugin
+2025-10-06 20:50:27,202 [2.239952564239502] PIL.Image DEBUG: Importing SunImagePlugin
+2025-10-06 20:50:27,202 [2.239952564239502] PIL.Image DEBUG: Importing TgaImagePlugin
