+2025-09-07 17:46:09,131 [0.008580684661865234] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-09-07 17:46:11,176 [2.054036855697632] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:11,177 [2.0550434589385986] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:11,215 [2.092456340789795] PIL.PngImagePlugin DEBUG: STREAM b'IHDR' 16 13
+2025-09-07 17:46:11,215 [2.092456340789795] PIL.PngImagePlugin DEBUG: STREAM b'pHYs' 41 9
+2025-09-07 17:46:11,215 [2.092456340789795] PIL.PngImagePlugin DEBUG: STREAM b'IDAT' 62 8192
+2025-09-07 17:46:11,268 [2.1454405784606934] PIL.Image DEBUG: Importing BlpImagePlugin
+2025-09-07 17:46:11,268 [2.1454405784606934] PIL.Image DEBUG: Importing BmpImagePlugin
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Importing BufrStubImagePlugin
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Importing CurImagePlugin
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Importing DcxImagePlugin
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Importing DdsImagePlugin
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Importing EpsImagePlugin
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Importing FitsImagePlugin
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Importing FliImagePlugin
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Importing FpxImagePlugin
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Image: failed to import FpxImagePlugin: No module named 'olefile'
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Importing FtexImagePlugin
+2025-09-07 17:46:11,273 [2.150393009185791] PIL.Image DEBUG: Importing GbrImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing GifImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing GribStubImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing Hdf5StubImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing IcnsImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing IcoImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing ImImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing ImtImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing IptcImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing JpegImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing Jpeg2KImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing McIdasImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing MicImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Image: failed to import MicImagePlugin: No module named 'olefile'
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing MpegImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing MpoImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing MspImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing PalmImagePlugin
+2025-09-07 17:46:11,283 [2.1612322330474854] PIL.Image DEBUG: Importing PcdImagePlugin
+2025-09-07 17:46:11,299 [2.177262783050537] PIL.Image DEBUG: Importing PcxImagePlugin
+2025-09-07 17:46:11,299 [2.177262783050537] PIL.Image DEBUG: Importing PdfImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing PixarImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing PngImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing PpmImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing PsdImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing QoiImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing SgiImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing SpiderImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing SunImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing TgaImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing TiffImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing WebPImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing WmfImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing XbmImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing XpmImagePlugin
+2025-09-07 17:46:11,302 [2.180105686187744] PIL.Image DEBUG: Importing XVThumbImagePlugin
+2025-09-07 17:46:11,468 [2.3461050987243652] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:12,471 [3.348646879196167] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:12,472 [3.3497447967529297] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:12,748 [3.6257495880126953] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:13,757 [4.634536504745483] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:13,759 [4.636319875717163] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:14,035 [4.913287878036499] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:15,044 [5.922152996063232] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:15,044 [5.922152996063232] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:15,320 [6.197555065155029] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:16,322 [7.199633836746216] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:16,322 [7.199633836746216] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:16,472 [7.349318742752075] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-09-07 17:46:16,605 [7.482760667800903] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:17,528 [8.405848979949951] keyring.backend DEBUG: Loading KWallet
+2025-09-07 17:46:17,529 [8.406849384307861] keyring.backend DEBUG: Loading SecretService
+2025-09-07 17:46:17,530 [8.407849788665771] keyring.backend DEBUG: Loading Windows
+2025-09-07 17:46:17,537 [8.414404153823853] win32ctypes.core.cffi DEBUG: Loaded cffi backend
+2025-09-07 17:46:17,569 [8.446731090545654] keyring.backend DEBUG: Loading chainer
+2025-09-07 17:46:17,569 [8.446731090545654] keyring.backend DEBUG: Loading libsecret
+2025-09-07 17:46:17,569 [8.446731090545654] keyring.backend DEBUG: Loading macOS
+2025-09-07 17:46:17,587 [8.464995861053467] keyring.backend DEBUG: Loading Gnome
+2025-09-07 17:46:17,587 [8.464995861053467] keyring.backend DEBUG: Loading Google
+2025-09-07 17:46:17,587 [8.464995861053467] keyring.backend DEBUG: Loading Windows (alt)
+2025-09-07 17:46:17,592 [8.470168590545654] keyring.backend DEBUG: Loading file
+2025-09-07 17:46:17,594 [8.47217321395874] keyring.backend DEBUG: Loading keyczar
+2025-09-07 17:46:17,594 [8.47217321395874] keyring.backend DEBUG: Loading multi
+2025-09-07 17:46:17,597 [8.474910497665405] main INFO: Requesting url:General/AuthenticatePublisherAccount
+2025-09-07 17:46:17,597 [8.474910497665405] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-09-07 17:46:17,597 [8.474910497665405] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:17,608 [8.48609972000122] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:17,608 [8.48609972000122] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:17,861 [8.73902940750122] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-09-07 17:46:18,120 [8.998154640197754] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-09-07 17:46:18,120 [8.998154640197754] pydexcom DEBUG: Retrieve session ID from the login endpoint
+2025-09-07 17:46:18,670 [9.547813415527344] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2025-09-07 17:46:18,687 [9.564658403396606] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2025-09-07 17:46:18,687 [9.564658403396606] notifier INFO: Requesting url General/AuthenticatePublisherAccount
+2025-09-07 17:46:18,687 [9.564658403396606] pydexcom DEBUG: Retrieve account ID from the authentication endpoint
+2025-09-07 17:46:18,687 [9.564658403396606] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:18,869 [9.747111320495605] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-07 17:46:18,871 [9.748800277709961] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-07 17:46:19,145 [10.023124694824219] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2025-09-07 17:46:19,151 [10.028996706008911] pydexcom DEBUG: Retrieve session ID from the login endpoint
